StudentNo,学号,test_Score,Score1,Time1,Score2,Time2,Score3,Time3,Score4,Time4,Score5,Time5,Score6,Time6,Score7,Time7,Score8,Time8,Score9,Time9,Score10,Time10,correct_score,performance_score,rule_score,final_score,commit_times,commit_details
221801330,1330,10,1,200,1,208,1,208,1,165,1,206,1,211,1,149,1,173,1,209,1,213,3,0,3,6,32,"{""22"":""Update codestyle.md"",""23"":""Update codestyle.md"",""24"":""Update codestyle.md"",""25"":""Update codestyle.md"",""26"":""Create Lib.java"",""27"":""Create WordCount.java"",""28"":""Delete src"",""29"":""Create README.md"",""30"":""Create codestyle.md"",""31"":""Create src"",""10"":""feat: 新增单词判断方法"",""11"":""feat: 新增字符数统计功能"",""12"":""feat: 新增字符数、单词数量、行数、单词出现频次的Set（）、Get（）方法"",""13"":""feat: 实现命令行输入以及输入异常状态下的判断"",""14"":""docs: 更新代码规范文档"",""15"":""docs: 更新代码规范文档"",""16"":""Update codestyle.md"",""17"":""Update codestyle.md"",""18"":""Update codestyle.md"",""19"":""Update codestyle.md"",""0"":""fix：bug修复"",""1"":""fix：bug修复"",""2"":""docs：编写描述文档"",""3"":""style：代码规范化"",""4"":""feat：需求功能的实现"",""5"":""style：代码规范化"",""6"":""feat: 部分代码注释"",""7"":""feat: 对单词数、行数、出现频次的计算"",""8"":""feat: 新增单词出现频次统计方法"",""9"":""feat: 新增单词数量统计方法"",""20"":""Update codestyle.md"",""21"":""Update codestyle.md""}"
221801209,1209,10,1,17744,1,29952,1,41282,1,9154,1,32164,1,41967,1,1562,1,9811,1,39132,1,52097,3,0,3,6,17,"{""11"":""完成charCount和lineCount\n"",""12"":""API的小修改以及单元测试的完成\n"",""13"":""完成API设计\n"",""14"":""确定了代码风格\n"",""15"":""init\n"",""16"":""init\n"",""0"":""换行统计的bug\n"",""1"":""python open r/w模式的特殊处理导致的bug\n"",""2"":""修复格式错误\n"",""3"":""空白字符定义修改\n"",""4"":""文件不存在错误处理\n"",""5"":""去除重复作业实现性能小优化\n"",""6"":""命令行程序WordCount完成\n"",""7"":""优化代码以及格式化代码\n"",""8"":""根据单元测试结果发现了bug，修改了API\n"",""9"":""完成topWord\n"",""10"":""完成wordCount\n""}"
221801218,1218,0,0,19454,0,30814,0,41469,0,12236,0,34561,0,43435,0,4886,0,17821,0,42270,0,51351,0,0,3,3,10,"{""0"":""- 完善README.md\n"",""1"":""- 完善字符统计判断逻辑\n"",""2"":""- 增加部分异常处理\n"",""3"":""- 增加代码规范\n"",""4"":"".gitignore update\n"",""5"":""- 修复行数计算时计算空行的问题\n"",""6"":""- 增加行数计算 CountLine\n- 增加文件读写编码UTF-8限制\n- 修正了函数count的命名\n"",""7"":""- 增加获取词频Top 10功能\n"",""8"":""- 移除CountWordFreq类\n- 完成CountWorld类\n"",""9"":""- 新建三个Count类\n- 完成CountChar类\n""}"
221801416,1416,0,0,106,0,99,0,99,0,101,0,99,0,100,0,98,0,99,0,101,0,98,0,0,0,0,8,"{""0"":""改了一下参数\n"",""1"":""每个冒号后面都加了空格且值相同时按key排序\n"",""2"":""改了一些bug\n"",""3"":""增加了代码规范和项目描述\n"",""4"":""增加了代码规范\n"",""5"":""将计算功能模块化\n"",""6"":""初步完成\n"",""7"":""add\n""}"
221801339,1339,0,0,2147483647,0,2147483647,0,2147483647,0,2147483647,0,2147483647,0,2147483647,0,2147483647,0,2147483647,0,2147483647,0,2147483647,0,0,3,3,16,"{""11"":""修改了src\n"",""12"":""Update README.md"",""13"":""Update README.md"",""14"":""修改了文件夹\n"",""15"":""修改文件夹\n"",""0"":""去除前面的包"",""1"":""修改文件格式\n"",""2"":""修改\n"",""3"":""修改了WordCount\n"",""4"":""使所有类都是用UTF编码\n"",""5"":""Merge branch 'main' of github.com:Zmeiting/PersonalProject-Java\n"",""6"":""添加了Test类进行大量数据测试\n"",""7"":""删掉了前面的包"",""8"":""删掉了前面的包"",""9"":""删掉了前面的包"",""10"":""Merge branch 'main' of github.com:Zmeiting/PersonalProject-Java\n""}"
221801214,1214,0,0,2147483647,0,2147483647,0,2147483647,0,2147483647,0,2147483647,0,2147483647,0,2147483647,0,2147483647,0,2147483647,0,2147483647,0,0,3,3,17,"{""11"":""add qmkl\n\n添加统计单词数\n"",""12"":""add qmlk\n\n理解错计算字符数的意思,我以为是认为输入的\\n和\\t,做了修改\n"",""13"":""add qmlk\n\n添加了计算字符数\n"",""14"":""Create lzk"",""15"":""Delete 221801214"",""16"":""Create 221801214"",""0"":""add qmkl\n"",""1"":""add qmkl\n"",""2"":""add qmkl\n"",""3"":""add qmkl\n"",""4"":""add qmkl\n\n增加了代码规范和项目描述\n"",""5"":""add qmkl\n\n增加了命令行输入功能,修改了一些编译错误,其中有一些注释的中文错误,我不知道为什么,不知道是不是我的电脑用户名为中文的原因还是什么.\n"",""6"":""add qmkl\n\n修改了一些字符数和单词的bug,然后把这些数据存入文件\n"",""7"":""add qmkl\n\n增加了计算非空白行数\n"",""8"":""add qmkl\n\n把文件的绝对路径改成相对路径\n"",""9"":""add qmlk\n\n对存放单词的key和value进行了排序\n"",""10"":""add qmlk\n\n新增map来存入单词和单词数\n""}"
221801116,1116,0,0,98,0,98,0,98,0,101,0,98,0,98,0,100,0,98,0,100,0,101,0,0,3,3,13,"{""11"":""1\n\ntest\n"",""12"":""0\n"",""0"":""11.1\n\n冒号后面加一个空格\n"",""1"":""11\n\n最终\n"",""2"":""10\n\n修复了一些bug\n"",""3"":""9\n\n增加多线程处理\n"",""4"":""8\n\n增加计算字符，计算非空行，计算单词数返回结果int值的函数接口\n"",""5"":""7\n\n编码集统一设定为UTF-8\n"",""6"":""6\n\n添加了部分异常处理\n"",""7"":""5\n\n简单输出\n"",""8"":""4\n\n对字典进行排序\n"",""9"":""3\n\n计算行数\n"",""10"":""2\n\n计算单词数，统计单词词频\n""}"
221801216,1216,0,0,102,0,98,0,97,0,99,0,97,0,99,0,101,0,98,0,98,0,100,0,0,3,3,16,"{""11"":""新增文件读取，转化成字符串的函数\n"",""12"":""新增统计有效行数的函数\n"",""13"":""新增统计单词个数的函数\n"",""14"":""新增统计文件字符数的函数\n"",""15"":""建立三个类，分别为处理文件的(FileDeal)、处理单词的(WordDeal)、主函数(WordCount)\n"",""0"":""将换行标准修改\n"",""1"":""修改格式：冒号后带个空格\n"",""2"":""省略文件\n"",""3"":""省略gitignore文件和排版下README.md文件\n"",""4"":""编写REDAME.md，在WordDealTest上增加测试用例，其余函数做细节方面小的修改\n"",""5"":""修改代码规范，WordCount修改小细节\n"",""6"":""新增单元测试\n"",""7"":""编写代码规范\n"",""8"":""把排完序的List元素筛出前十个\n"",""9"":""新增统计单词词频的函数\n"",""10"":""新增写入输出文件的函数\n""}"
221801110,1110,0,0,104,0,96,0,98,0,102,0,98,0,97,0,99,0,87,0,107,0,100,0,0,3,3,16,"{""11"":""实现统计文件的有效行数功能\n"",""12"":""实现统计文件的字符数功能\n"",""13"":""代码规范\n"",""14"":""代码规范\n"",""15"":""添加文件\n"",""0"":""第十三次commit\n"",""1"":""第十二次commit\n"",""2"":""第十一次commit\n"",""3"":""第十次commit\n"",""4"":""第九次commit\n"",""5"":""第八次commit\n"",""6"":""第七次commit\n"",""7"":""Update codestyle.md\n"",""8"":""函数打包Lib.java，并实现统计单词数功能\n"",""9"":""Update codestyle.md\n"",""10"":""Update WordCount.java\n""}"
221801111,1111,0,0,102,0,99,0,99,0,98,0,97,0,98,0,96,0,96,0,99,0,96,0,0,3,3,13,"{""11"":""Delete 221801111"",""12"":""Create 221801111"",""0"":""fourth-modify\n"",""1"":""fourth-modify\n"",""2"":""sixth-modify\n"",""3"":""sixth\n"",""4"":""fifth-add\n"",""5"":""fifth\n"",""6"":""fourth\n"",""7"":""third\n"",""8"":""second\n"",""9"":""first\n"",""10"":""Create 221801111""}"
221801430,1430,0,0,17715,0,27843,0,37241,0,10537,0,30633,0,40104,0,4153,0,11348,0,37244,0,48776,0,0,3,3,15,"{""11"":""统计文件行数\n"",""12"":""单词统计\n"",""13"":"".gitignore move\n"",""14"":""add 221801430\n"",""0"":""bug修复\n"",""1"":""no message\n"",""2"":""代码规范及文档修改\n"",""3"":""修复小bug\n"",""4"":""命令行和写入文件\n"",""5"":""no message\n"",""6"":""bug修复\n"",""7"":""修复bug及功能完善\n"",""8"":""单词频数功能待完善\n"",""9"":""统计相同单词数（未完成）\n"",""10"":""统计文件行数更改\n""}"
221801233,1233,0,0,247,0,267,0,299,0,222,0,280,0,297,0,193,0,234,0,298,0,300,0,0,3,3,10,"{""0"":""Update codestyle.md\n"",""1"":""改正识别空白符行的bug\n"",""2"":""增加文档\n"",""3"":""Create codestyle.md\n"",""4"":""修改了获取行数的一个小bug\n"",""5"":""完善了IO的bug,增加了相应处理\n"",""6"":""完善了输出的单词排序功能\n"",""7"":""增加lib类\n"",""8"":""把输出功能完善了\n"",""9"":""Create WordCount.java\n\n先完成主要的文件输入输出\n""}"
221801310,1310,0,0,214,0,238,0,237,0,204,0,255,0,271,0,138,0,189,0,237,0,268,0,0,3,3,23,"{""11"":""啊这\n"",""22"":""测试提交\n\n测试一下gitignore的规则\n"",""12"":""修改读取文件\n\n原本的读取文件是一行一行的读取，自动补上\\n，但由于换行符有时候可能是\\r\\n，所以这种方式是错误的。现在改成用read(byte[] b)函数读取。\n"",""13"":""输出到txt文件 并完善了一些功能\n\n1. 在sortHashMap处最多只取10条记录\n2. splitLegalWord返回小写字母\n3. 完善了main函数\n4. 不再将排序好的list转换为hashMap 而是直接返回list\n"",""14"":""添加统计词频功能\n\nCountFrequency类中：\n1. 添加了countFrequency传入文本 得到未排序的单词出现频率HashMap\n2.  添加了sortHashMap 对hashMap进行排序\nSplitWord类中：\n3. 添加了textToLegalWord方法，传入文本，返回合法单词的list\n"",""15"":""分离提取合法单词功能\n\n在splitWord中添加splitLegalWord方法，返回存放合法单词的List<String>. 将功能分隔出来了，方便其他方法复用，也使得countWord方法更加简洁\n"",""16"":""统计行数\n\n添加了CountLine类，countLine静态方法用来统计行数，isValidate方法判断是否空行\n"",""17"":""统计单词数\n\n添加了CountWord这个类，其中的countWord这个静态方法用来统计文本中的单词数。传入参数为文本text\n"",""18"":""字符分割 读取优化\n\n添加了splitWord方法，功能：输入文本，输出分隔好的字符串数组。\n优化了读取方法readTxt，指定了编码为UTF-8\n"",""19"":""添加了统计ascii字符数功能\n"",""0"":""删除.iml文件\n\n切换分支提交的时候没注意到之前测试提交的错误文件。。\n"",""1"":""删除一些错误文件\n"",""2"":""Merge branch 'zyx' into main\n"",""3"":""添加了README文件\n\n介绍了运行方式\n"",""4"":""添加了几个工具类\n\n1. regexUtils 帮助创建Matcher 用于正则匹配\n2.toLowerStr、toLowerChar 大写字符转小写\n"",""5"":""将无关类删除，整合到Lib类中 需要通过命令行执行了\n\n1. 整合所有方法到Lib类中 之前那么多类其实都是无意义的 陋习罢了\n2. 现在需要通过命令行先编译，然后传参数才能执行了\n"",""6"":""做了一些修改 多线程运行\n\n1. CountLine判断空行的规则改变了，修复了行数读取错误 isValidate弃用\n2. CountWord类弃用，合法单词的长度如果超过一定长度无法通过size方法获取。改为在SplitWord中 进行计算。\n3. 修改了读取文件的一个错误，这个错误导致读取的文本存在问题。\n4. 将单词数量计算和行数计算转为多线程运行，缩短了一定的总运行时间。\n"",""7"":""做了一些提高性能的改变\n\n1. 计算ASCII码的时候 改为直接返回字符串长度，因为给定的文本必定是UTF-8编码的。\n2. SplitWord中进行了大改：添加了findLegal方法，先前用split方法将String进行分割，耗时过久，同时matches匹配也很耗时。因此改为直接对String进行匹配，通过Matcher.find()方法进行匹配，在while循环中将匹配的字符串提取，同时统计出现次数，字符串和出现次数存放到hashMap中。\n3. CountWord中，统计合法单词的方法也改变了，现在只需返回legalWords这个hashMap的大小就可以知道合法单词数。\n4. 读取文件改为带缓冲字节流读取BufferInputStream， 读取文件速度大大提升，但存在读取长度问题，调试很久，应该是编码问题，将在后续版本更新，或更换其他方式。（添加的openFile函数来自邹洋艺同学，是我为了排除bug向他要过来作测试用）\n"",""8"":""修改了文件读取的一个错误\n\ninputStream.read(bytes);\n"",""9"":""修复读取文件错误\n\n1.原本的读取文件是一行一行的读取，自动补上\\n，但由于换行符有时候可能是\\r\\n，所以这种方式是错误的。现在改成用read(byte[] b)函数读取。\n2. 还修复了最后输出单词时，如果出现频率相同的单词，优先输出字典序靠前的单词\n"",""20"":""读取文件\n\n读取的文件名暂时固定，便于测试。将文件中内容读取并保存到String里\n"",""10"":""Revert \""修改读取文件\""\n\nThis reverts commit 5acde58112b078817d57037108a1ad85d8154352.\n"",""21"":""添加了代码规范\n\n基于《阿里巴巴Java开发手册》编写的代码规范\n""}"
041801406,1406,0,0,110,0,100,0,99,0,104,0,100,0,103,0,102,0,98,0,100,0,99,0,0,3,3,11,"{""0"":""加上了注释和代码风格V1.10\n"",""1"":""成功让词频统计按照字典序排序V1.9\n"",""2"":""修复了之前整合读取功能时出现的bugV1.8\n"",""3"":""将读取文件整合为一个功能V1.7\n"",""4"":""没仔细看到换行符也要统计V1.6\n"",""5"":""解决了输出的编码问题V1.5\n"",""6"":""完成了从控制台输入文件功能V1.4\n"",""7"":""完成了统计词频并输出前十的功能V1.3\n"",""8"":""初步完成统计单词数量的功能V1.2\n"",""9"":""完成了统计行数的功能V1.1\n"",""10"":""初步完成统计字符的功能V1.0\n""}"
221801229,1229,0,0,104,0,99,0,98,0,98,0,98,0,96,0,97,0,97,0,96,0,99,0,0,3,3,10,"{""0"":""tenth\n\n改进判别单词分隔符的正则表达式，使结果更精确\n"",""1"":""ninth\n\n编写主函数\n"",""2"":""eighth\n\n编写写入文件的方法\n"",""3"":""seventh\n\n编写单词频数统计方法\n"",""4"":""sixth\n\n编写单词数统计方法\n"",""5"":""fifth\n\n编写统计行数方法\n"",""6"":""fourth\n\n编写并测试了字符计数方法\n"",""7"":""third\n\n增加FileUtil类\n"",""8"":""second\n\n编写代码规范\n"",""9"":""first\n\nfirst\n""}"
221801125,1125,0,0,108,0,100,0,102,0,104,0,101,0,102,0,111,0,95,0,102,0,109,0,0,0,0,7,"{""0"":""1.13v /t空白字符更正\n"",""1"":""md文档提交\n"",""2"":""1.12v 名称更改\n"",""3"":""运行文档\n"",""4"":""1.11v 相对路径\n"",""5"":""md文档提交\n"",""6"":""1.10v\n""}"
221801104,1104,0,0,102,0,95,0,95,0,100,0,98,0,96,0,99,0,98,0,96,0,99,0,0,3,3,26,"{""22"":""Create README.md\n\n记录本次实践的一些信息"",""23"":""Create codestyle.md\n\n代码风格"",""24"":""Delete 221801104"",""25"":""Create 221801104\n\n软件工程实践第二次作业"",""10"":""Update WordCount.java\n\n把文件中所有大写字母转换为小写"",""11"":""Update WordCount.java\n\n统计文件的行数并输出"",""12"":""Update WordCount.java\n\n将字符数和单词数按指定格式输出到用户指定的文件位置"",""13"":""Update WordCount.java\n\n统计字符数和单词数"",""14"":""Update WordCount.java\n\n需要读取的文件和输出流的初始化"",""15"":""Update WordCount.java\n\n先读取用户输入要读取的文件路径（docin），如：E://1.txt。\r\n后读取用户输入要输出的文件路径（docout），如：E://2.txt。"",""16"":""Update WordCount.java\n\n词频统计的要求注释和主要方法为用HashMap来存储单词的频率"",""17"":""Update WordCount.java\n\n需要引入的包"",""18"":""Create WordCount.java\n\n词频统计Java版"",""19"":""Delete Main.java"",""0"":""Update WordCount.java\n\n改正词频统计错误"",""1"":""Update WordCount.java\n\n解决词频统计的统计错误"",""2"":""Update WordCount.java\n\n优化了字符、单词、行数的统计，解决了词频统计的越界错误"",""3"":""Update README.md\n\n更新README"",""4"":""Update WordCount.java\n\n调整格式至codestyle"",""5"":""Update WordCount.java\n\n统计单词频率"",""6"":""Update WordCount.java\n\n把文件中所有单词转化为小写的函数"",""7"":""Update WordCount.java\n\n打印出所有信息，自己校对用"",""8"":""Update WordCount.java\n\n将出现频率最高的前十个单词写入文件"",""9"":""Update WordCount.java\n\n将单词按照次数从高到低排序"",""20"":""Create Main.java"",""21"":""Update codestyle.md\n\n之后的代码按照此代码风格进行，有其他忽略的细节会及时补充""}"
221801324,1324,0,0,108,0,97,0,93,0,96,0,94,0,94,0,96,0,93,0,94,0,97,0,0,3,3,11,"{""0"":""Add files via upload\n\n增加了代码规范"",""1"":""Add files via upload\n\n增加了测试的主函数入口"",""2"":""Add files via upload\n\n增加了最后输出各类数据的函数"",""3"":""Add files via upload\n\n增加了输出流打开关闭函数"",""4"":""Add files via upload\n\n增加了计算单词频率的函数"",""5"":""Add files via upload\n\n增加了计算字符数的函数"",""6"":""Add files via upload\n\n增加了计算行数的函数"",""7"":""Add files via upload\n\n增加了计算单词个数的函数"",""8"":""Add files via upload\n\n增加了读取字符流的函数"",""9"":""Add files via upload\n\n增加了Lib类的构造函数"",""10"":""Add files via upload\n\n写了一个Lib类，里面有之后需要的各种数据类型""}"
221801127,1127,0,0,100,0,97,0,97,0,100,0,97,0,99,0,101,0,97,0,98,0,100,0,0,0,0,6,"{""0"":""用args替代scanner\n\n用args替代scanner\n"",""1"":""Update README.md\n"",""2"":""微调判字符数函数\n\n微调判字符数函数\n"",""3"":"".gitignore update\n"",""4"":""Update README.md"",""5"":""example改名为221801127\n\n改名\n""}"
221801325,1325,0,0,201,0,236,0,250,0,174,0,298,0,284,0,156,0,171,0,265,0,268,0,0,3,3,36,"{""22"":""分装模块\n\n分装模块\n"",""23"":""初步完成\n\n初步完成所有功能\n"",""24"":""完成行数计算\n\n完成行数计算\n"",""25"":""Delete output.txt"",""26"":""Delete input.txt"",""27"":""Delete 221801325.iml"",""28"":""完成计算单词数\n\n完成计算单词数，输出到output\n"",""29"":""完成计算字符\n\n完成计算字符\n"",""30"":""成功读取文件\n\n成功读取文件\n"",""31"":""Update Main.java\n"",""10"":""改进计算单词的方法\n\n改进了计算单词的方法，换用match.find()方法，极大提高了效率。还在测试各部分性能\n"",""32"":""结构\n\n完善作业结构\n"",""11"":""Update codestyle.md"",""33"":""Create 1"",""12"":""Update codestyle.md"",""34"":""Delete 1"",""13"":""完成\n\n基本完成程序\n"",""35"":""Create 1"",""14"":""完善程序\n\n将文件操作分装\n"",""15"":""完善字典排序\n\n完善了字典排序\n"",""16"":""修改计算行方法\n\n换用。read（）读取，因此修改计算行的方法\n"",""17"":""修改排序\n\n优先输出字典序靠前的单词\n"",""18"":""改用stringbuffer\n\n非常显著提高了读取文件运行速度\n"",""19"":""Revert \""Merge branch 'main' of https://github.com/yangyi16123/PersonalProject-Java into main\""\n\nThis reverts commit 7de52715320a79e43386cd74304654921c495430, reversing\nchanges made to 1b61e7043056905fa6031327419d2ffe6bbecc27.\n"",""0"":""Merge branch 'main' of https://github.com/yangyi16123/PersonalProject-Java into main\n"",""1"":""更新README\n\n更新README.md\n"",""2"":""Delete 221801325.iml"",""3"":""修复一些bug\n\n修改了一些算法。使程序能跑500兆以上的大文件\n"",""4"":""Revert \""Delete 221801325.iml\""\n\nThis reverts commit c874c3151c51122209dda87423062b04735b3c16.\n"",""5"":""Merge branch 'main' of https://github.com/yangyi16123/PersonalProject-Java into main\n"",""6"":""Delete 221801325/test directory"",""7"":""Delete 221801325.iml"",""8"":""删除多余输出语句\n\n将之前用来查看时间的输出语句删除 并将文件目录换成命令行可传参形式\n"",""9"":""修改计算行数方法\n\n修改计算行数方法，弃用分割，采用正则\n"",""20"":""Merge branch 'main' of https://github.com/yangyi16123/PersonalProject-Java into main\n"",""21"":""完善程序\n\n修改计算行数方法，计算word时，将单词记录到map\n""}"
221801106,1106,0,0,102,0,100,0,97,0,101,0,95,0,99,0,96,0,96,0,100,0,101,0,0,3,3,23,"{""11"":""写了WordCount.java的主函数\n"",""22"":""Create 221801106"",""12"":""删除了所有相关代码，重新开始提交\n"",""13"":""一次性把代码提交，后面删掉分次提交\n"",""14"":""Update codestyle.md"",""15"":""Create Lib.java"",""16"":""Update codestyle.md"",""17"":""Update REDAME.md"",""18"":""Create codestyle.md"",""19"":""Create WordCount.java"",""0"":""Update Lib.java\n\n修改细节"",""1"":""完成\n"",""2"":""添加了测试类\n"",""3"":""添加了总和函数\n"",""4"":""将要输出的结果集合成一个result字符串，并输出到output.txt文件\n"",""5"":""通过迭代器计算出hashmap里面一共有多少单词\n"",""6"":""提交了读取文档，并统计字符数，行数，以及将字符串分开，放入以单词为key的hashmap中\n"",""7"":""提交了根据key和value进行hashmap排序的函数\n"",""8"":""提交了判断是否为单词的函数\n"",""9"":""提交了Lib工具类的构建函数\n"",""20"":""Create REDAME.md"",""10"":""开始编写Lib.java工具类，写了一些变量\n"",""21"":""Delete 221801106""}"
221801205,1205,0,0,100,0,97,0,99,0,95,0,98,0,97,0,100,0,100,0,100,0,98,0,0,3,3,16,"{""11"":""read file\n"",""12"":""init WirdCount.java\n"",""13"":""modify codestyle.md\n"",""14"":""write codestyle.md\n"",""15"":""copy example to 221801205\n"",""0"":""modify outPut mode\n"",""1"":""modify README.md\n"",""2"":""create class OperateFile and move code\n"",""3"":""modify CountCore return and WordCount output\n"",""4"":""add function getMaxCount\n"",""5"":""add function getRowCount\n"",""6"":""add function getWordCount\n"",""7"":""add func isWord\n"",""8"":""add note\n"",""9"":""create class CountCore and count char\n"",""10"":""function readFile add static\n""}"
221801421,1421,0,0,97,0,96,0,95,0,97,0,95,0,98,0,97,0,96,0,97,0,97,0,0,3,3,13,"{""11"":""完成了有效行数的统计\n"",""12"":""完成了文件的读入和字符统计\n"",""0"":""根据题目要求修改了输出格式\n"",""1"":""修改了bug\n"",""2"":""补充了README\n"",""3"":""将注释补充完整，并且修改代码使得符合代码规范\n"",""4"":""删除了测试相关内容\n"",""5"":""性能测试\n"",""6"":""完成了测试类, 进行了单元测试\n"",""7"":""将计算模块独立出来并且将输入方式改为命令行输入\n"",""8"":""完成了写入文件和暴露给main函数的api\n"",""9"":""实现了词频TopK的统计\n"",""10"":""完成了单词量计数和词频的统计\n""}"
